5000m men,rio 2016,Mohamed Daud Mohamed,SOM,23.,14:57.84
5000m men,rio 2016,Rosefelo Siosi,SOL,24.,15:47.76
5000m men,rio 2016,Paul Kipkemoi Chelimo,USA,1.,13:19.54
5000m men,rio 2016,Muktar Edris 1,ETH,2.,13:19.65
5000m men,rio 2016,Dejen Gebremeskel,ETH,3.,13:19.67
5000m men,rio 2016,Birhanu Balew,BRN,4.,13:19.83
5000m men,rio 2016,Andrew Butchart,GBR,5.,13:20.08
5000m men,rio 2016,Mohammed Ahmed,CAN,6.,13:21.00
5000m men,rio 2016,Elroy Gelant,RSA,7.,13:22.00
5000m men,rio 2016,Abrar Osman Adem,ERI,8.,13:22.56
5000m men,rio 2016,Brett Robinson,AUS,9.,13:22.81
5000m men,rio 2016,David Torrence 1,PER,10.,13:23.20
5000m men,rio 2016,Phillip Kipyeko,UGA,11.,13:24.66
5000m men,rio 2016,Isiah Kiplangat Koech,KEN,12.,13:25.15
5000m men,rio 2016,Patrick Tiernan,AUS,13.,13:28.48
5000m men,rio 2016,Florian Orth,GER,14.,13:28.88
5000m men,rio 2016,Hiskel Tewelde,ERI,15.,13:30.23
5000m men,rio 2016,Suguru Osako,JPN,16.,13:31.45
5000m men,rio 2016,Adel Mechaal,ESP,17.,13:34.42
5000m men,rio 2016,Soufiyan Bouqantar,MAR,18.,13:56.55
5000m men,rio 2016,Ali Kaya,TUR,19.,14:05.34
5000m men,rio 2016,Tom Farrell,GBR,20.,14:11.65
5000m men,rio 2016,Tariq Ahmed Al Amri,KSA,21.,14:26.90
5000m men,rio 2016,Antonio Abadia,ESP,22.,14:33.20
5000m men,rio 2016,Kefasi Chitsala,MAW,23.,14:52.89
5000m men,rio 2016,San Naing San Naing,MYA,24.,15:51.05
5000m men,rio 2016,Romario Leitao,STP,25.,15:53.32
50km walk men,rio 2016,Matej Toth,SVK,1.,3:40:58
50km walk men,rio 2016,Jared Tallent,AUS,2.,3:41:16
50km walk men,rio 2016,Hirooki Arai,JPN,3.,3:41:24
50km walk men,rio 2016,Evan Dunfee,CAN,4.,3:41:38
50km walk men,rio 2016,Wei Yu,CHN,5.,3:43:00
50km walk men,rio 2016,Robert Heffernan,IRL,6.,3:43:55
50km walk men,rio 2016,Havard Haukenes,NOR,7.,3:46:33
50km walk men,rio 2016,Yohann Diniz,FRA,8.,3:46:43
50km walk men,rio 2016,Caio Bonfim,BRA,9.,3:47:02
50km walk men,rio 2016,Chris Erickson,AUS,10.,3:48:40
50km walk men,rio 2016,Zhendong Wang,CHN,11.,3:48:50
50km walk men,rio 2016,Quentin Rew,NZL,12.,3:49:32
50km walk men,rio 2016,Horacio Nava,MEX,13.,3:50:53
50km walk men,rio 2016,Takayuki Tanii,JPN,14.,3:51:00
50km walk men,rio 2016,Adrian Blocki,POL,15.,3:51:31
50km walk men,rio 2016,Omar Zepeda,MEX,16.,3:51:35
50km walk men,rio 2016,Jorge Armando Ruiz,COL,17.,3:51:42
50km walk men,rio 2016,Serhiy Budza,UKR,18.,3:53:22
50km walk men,rio 2016,Brendan Boyce,IRL,19.,3:53:59
50km walk men,rio 2016,A Jesus Garcia,ESP,20.,3:54:29
50km walk men,rio 2016,Marco De Luca,ITA,21.,3:54:40
50km walk men,rio 2016,Rafal Augustyn,POL,22.,3:55:01
50km walk men,rio 2016,Jarkko Kinnunen,FIN,23.,3:55:43
50km walk men,rio 2016,Rafal Fedaczynski,POL,24.,3:55:51
50km walk men,rio 2016,Jose Leyver Ojeda,MEX,25.,3:56:07
50km walk men,rio 2016,Dusan Majdan,SVK,26.,3:58:25
50km walk men,rio 2016,Koichiro Morioka,JPN,27.,3:58:59
50km walk men,rio 2016,Alexandros Papamichail,GRE,28.,3:59:21
50km walk men,rio 2016,Jonathan Riekmann,BRA,29.,4:01:52
50km walk men,rio 2016,Ronal Quispe,BOL,30.,4:02:00
50km walk men,rio 2016,Narcis Stefan Mihaila,ROU,31.,4:02:46
50km walk men,rio 2016,Pedro Isidro,POR,32.,4:03:42
50km walk men,rio 2016,Tadas Suskevicius,LTU,33.,4:04:10
50km walk men,rio 2016,Rolando Saquipay,ECU,34.,4:07:29
50km walk men,rio 2016,Sandeep Kumar 3,IND,35.,4:07:55
50km walk men,rio 2016,Miguel Carvalho,POR,36.,4:08:16
50km walk men,rio 2016,Arnis Rumbenieks,LAT,37.,4:08:28
50km walk men,rio 2016,Marc Mundell,RSA,38.,4:11:03
50km walk men,rio 2016,Ivan Banzeruk,UKR,39.,4:11:51
50km walk men,rio 2016,Brendon Reading,AUS,40.,4:13:02
50km walk men,rio 2016,Mario Alfonso Bran,GUA,41.,4:15:14
50km walk men,rio 2016,Vladimir Savanovic,SRB,42.,4:15:53
50km walk men,rio 2016,John Nunn 1,USA,43.,4:16:12
50km walk men,rio 2016,Bence Venyercsan,HUN,44.,4:19:15
50km walk men,rio 2016,Claudio Villanueva 1,ECU,45.,4:19:33
50km walk men,rio 2016,Nenad Filipovic,SRB,46.,4:25:41
50km walk men,rio 2016,Yucheng Han,CHN,47.,4:32:35
50km walk men,rio 2016,Pavel Chihuan,PER,48.,4:32:37
50km walk men,rio 2016,Predrag Filipovic,SRB,49.,4:39:48
800m men,rio 2016,David Lekuta Rudisha,KEN,1.,1:42.15
800m men,rio 2016,Taoufik Makhloufi,ALG,2.,1:42.61
800m men,rio 2016,Clayton Murphy,USA,3.,1:42.93
800m men,rio 2016,Pierre Ambroise Bosse,FRA,4.,1:43.41
800m men,rio 2016,Ferguson Cheruiyot Rotich,KEN,5.,1:43.55
800m men,rio 2016,Marcin Lewandowski,POL,6.,1:44.20
800m men,rio 2016,Alfred Kipketer,KEN,7.,1:46.02
800m men,rio 2016,Boris Berian,USA,8.,1:46.15
decathlon men,rio 2016,Ashton Eaton,USA,1.,8893
decathlon men,rio 2016,Kevin Mayer,FRA,2.,8834
decathlon men,rio 2016,Damian Warner,CAN,3.,8666
